Rank,Movie,Release,Distributor,Genre,2019 Gross,Tickets Sold
,,Date,,,,
273,The Unthinkable,5/7/2021,Magnolia Pictures,Action,$974 ,106
274,Elbow Grease,2/19/2021,Self Distributed,Comedy,$917 ,100
278,Funhouse,5/28/2021,Magnet Releasing,Horror,$507 ,55
279,The East,8/13/2021,Magnolia Pictures,Drama,$180 ,19
280,First Signal,6/25/2021,The Ashton Times,Drama,$130 ,14
1,Bad Boys For Life,1/17/2020,Sony Pictures,Action,"$204,417,855 ",22316359
3,Sonic The Hedgehog,2/14/2020,Paramount Pictures,Adventure,"$146,066,470 ",15946121
6,Birds of Prey (And the Fant…,2/7/2020,Warner Bros.,Action,"$84,158,461 ",9187604
7,Dolittle,1/17/2020,Universal,Adventure,"$77,047,065 ",8411251
8,The Invisible Man,2/28/2020,Universal,Horror,"$64,914,050 ",7086686
9,The Call of the Wild,2/21/2020,20th Century Studios,Adventure,"$62,342,368 ",6805935
10,Onward,3/6/2020,Walt Disney,Adventure,"$61,555,145 ",6719993
11,Tenet,9/3/2020,Warner Bros.,Action,"$57,929,000 ",6324126
14,The Gentlemen,1/24/2020,STX Entertainment,Action,"$36,471,796 ",3981637
15,Just Mercy,1/10/2020,Warner Bros.,Drama,"$35,733,621 ",3901050
17,The Croods: A New Age,11/25/2020,Universal,Adventure,"$34,558,715 ",3772785
19,Wonder Woman 1984,12/25/2020,Warner Bros.,Action,"$28,500,000 ",3111353
21,Fantasy Island,2/14/2020,Sony Pictures,Horror,"$26,441,782 ",2886657
22,The New Mutants,8/28/2020,20th Century Studios,Horror,"$23,855,569 ",2604319
23,Like a Boss,1/10/2020,Paramount Pictures,Comedy,"$22,169,514 ",2420252
24,Unhinged,8/21/2020,Solstice Studios,Thriller/Suspense,"$20,831,465 ",2274177
25,The Photograph,2/14/2020,Universal,Drama,"$20,578,185 ",2246526
27,The War with Grandpa,10/9/2020,101 Studios,Comedy,"$18,861,607 ",2059127
28,Underwater,1/10/2020,20th Century Fox,Thriller/Suspense,"$17,291,078 ",1887672
29,The Turning,1/24/2020,Universal,Horror,"$15,472,775 ",1689167
30,Gretel & Hansel,1/31/2020,United Artists,Horror,"$15,347,654 ",1675508
31,Honest Thief,10/16/2020,Open Road,Thriller/Suspense,"$14,163,574 ",1546241
32,The Way Back,3/6/2020,Warner Bros.,Drama,"$13,590,514 ",1483680
33,My Hero Academia: Heroes: R…,2/26/2020,FUNimation,Adventure,"$13,553,826 ",1479675
35,Brahms: The Boy II,2/21/2020,STX Entertainment,Horror,"$12,611,536 ",1376805
37,Impractical Jokers: The Movie,2/21/2020,truTV,Comedy,"$10,466,091 ",1142586
38,I Still Believe,3/13/2020,Lionsgate,Drama,"$10,410,004 ",1136463
39,Emma,2/21/2020,Focus Features,Drama,"$10,055,355 ",1097746
40,Bloodshot,3/13/2020,Sony Pictures,Action,"$10,021,787 ",1094081
41,The Grudge,1/3/2020,Sony Pictures,Horror,"$9,812,035 ",1071182
42,Come Play,10/30/2020,Focus Features,Horror,"$9,564,845 ",1044197
43,Let Him Go,11/6/2020,Focus Features,Thriller/Suspense,"$9,355,765 ",1021371
44,Freaky,11/13/2020,Universal,Horror,"$8,757,960 ",956109
45,Downhill,2/14/2020,Searchlight Pictures,Drama,"$8,287,061 ",904700
47,Weathering With You,1/15/2020,GKIDS,Drama,"$7,798,703 ",851386
52,Monster Hunter,12/18/2020,Sony Pictures,Action,"$6,282,381 ",685849
53,The Hunt,3/13/2020,Universal,Thriller/Suspense,"$5,812,500 ",634552
54,The Rhythm Section,1/31/2020,Paramount Pictures,Thriller/Suspense,"$5,437,971 ",593664
55,News of the World,12/25/2020,Universal,Western,"$5,407,350 ",590322
56,The SpongeBob Movie: Sponge…,8/14/2020,Paramount Pictures,Adventure,"$4,810,790 ",525195
59,The Broken Hearts Gallery,9/11/2020,Sony Pictures,Romantic Comedy,"$4,066,487 ",443939
60,Infidel,9/18/2020,Cloudburst Entert…,Thriller/Suspense,"$4,051,990 ",442356
63,Bill & Ted Face the Music,8/28/2020,United Artists,Comedy,"$3,439,660 ",375508
64,2020 Oscar Shorts,1/29/2020,ShortsHD,Multiple Genres,"$3,304,748 ",360780
65,Fatale,12/18/2020,Lionsgate,Thriller/Suspense,"$3,089,694 ",337302
67,The Empty Man,10/23/2020,20th Century Studios,Horror,"$2,995,698 ",327041
68,My Boyfriend’s Meds,2/21/2020,Lionsgate,Romantic Comedy,"$2,971,116 ",324357
69,The Last Full Measure,1/24/2020,Roadside Attractions,Drama,"$2,949,212 ",321966
71,Words on Bathroom Walls,8/21/2020,Roadside Attractions,Drama,"$2,542,518 ",277567
72,After We Collided,9/11/2020,Roadside Attractions,Drama,"$2,386,483 ",260533
74,The Lodge,2/7/2020,Neon,Horror,"$2,138,907 ",233505
75,Half Brothers,12/4/2020,Focus Features,Comedy,"$2,056,635 ",224523
76,Promising Young Woman,12/25/2020,Focus Features,Black Comedy,"$1,896,080 ",206995
77,The Personal History of Dav…,8/28/2020,Searchlight Pictures,Drama,"$1,876,298 ",204836
78,The Wretched,5/1/2020,IFC Midnight,Horror,"$1,815,440 ",198192
80,The Rental,7/24/2020,IFC Films,Thriller/Suspense,"$1,637,548 ",178771
83,2 Hearts,10/16/2020,Freestyle Releasing,Drama,"$1,349,284 ",147301
85,Train to Busan Presents: Pe…,8/21/2020,Well Go USA,Horror,"$1,224,525 ",133681
86,Met Opera — Agrippina,2/29/2020,Fathom Events,Concert/Perfor…,"$1,150,000 ",125545
87,True to the Game 2: Gena’s …,11/6/2020,Faith Media Distr…,Thriller/Suspense,"$1,117,808 ",122031
88,The Assistant,1/31/2020,Bleecker Street,Drama,"$1,100,310 ",120121
90,Love and Monsters,10/16/2020,Paramount Pictures,Adventure,"$1,070,714 ",116890
91,Relic,7/3/2020,IFC Midnight,Thriller/Suspense,"$1,047,083 ",114310
92,The Tax Collector,8/7/2020,RLJ Entertainment,Action,"$1,044,212 ",113996
94,Becky,6/5/2020,Quiver,Thriller/Suspense,"$1,002,852 ",109481
95,Break the Silence The Movie,9/24/2020,Trafalgar Releasing,Documentary,"$1,000,000 ",109170
96,All My Life,12/4/2020,Universal,Drama,"$909,940 ",99338
100,Met Opera: Wozzeck,1/11/2020,Fathom Events,Concert/Perfor…,"$863,000 ",94213
101,Cut Throat City,7/31/2020,Well Go USA,Drama,"$855,894 ",93438
102,Sarileru Neekevvaru,1/10/2020,Great India Films,Action,"$821,000 ",89628
103,Vanguard,11/20/2020,Gravitas Ventures,Action,"$793,525 ",86629
104,Pinocchio,12/25/2020,Roadside Attractions,Adventure,"$782,555 ",85431
105,Color Out of Space,1/24/2020,RLJ Entertainment,Horror,"$765,561 ",83576
106,Shortcut,9/25/2020,Gravitas Ventures,Horror,"$758,223 ",82775
107,Possessor,10/2/2020,Neon,Thriller/Suspense,"$752,885 ",82192
110,Baaghi 3,3/6/2020,FIP,Action,"$721,439 ",78759
112,The Last Vermeer,11/20/2020,Sony Pictures Cla…,Drama,"$685,380 ",74823
114,The Last Shift,9/25/2020,Sony Pictures,Comedy,"$643,658 ",70268
115,Synchronic,10/23/2020,Well Go USA,Thriller/Suspense,"$636,673 ",69505
117,Chhapaak,1/10/2020,FIP,Drama,"$604,334 ",65975
119,Panga,1/24/2020,FIP,Drama,"$582,720 ",63615
122,Alone,9/18/2020,Magnolia Pictures,Thriller/Suspense,"$538,358 ",58772
123,Followed,6/19/2020,Global View Enter…,Horror,"$538,179 ",58753
126,Kajillionaire,9/25/2020,Focus Features,Drama,"$531,430 ",58016
127,The Call,10/2/2020,Atlas Distribution,Horror,"$516,520 ",56388
128,The Big Ugly,7/24/2020,Vertical Entertai…,Action,"$514,107 ",56125
130,The Forgotten Carols,11/20/2020,Purdie Distribution,Musical,"$501,629 ",54762
131,Spell,10/30/2020,Paramount Pictures,Horror,"$500,104 ",54596
132,Ava,9/25/2020,Vertical Entertai…,Action,"$497,747 ",54339
133,CatVideoFest,2/21/2020,Oscilloscope Pict…,Documentary,"$478,775 ",52268
